date_of_match,player1_id,player1_name,player2_id,player2_name,match_outcome,score,lk1,lk2
30.09.2020,20651370,Wolter,20655645,Nijkamp,verloren,1:6 0:6,12.1,5.1
27.09.2020,20651370,Wolter,20250666,Bögner,verloren,0:6 0:6,12.1,1
27.09.2020,20651370,Wolter,20255471,Pohl,gewonnen,6:3 6:3,12.1,14.1
18.09.2020,20651370,Wolter,20550817,Grade,gewonnen,6:2 6:1,12.1,15
12.09.2020,20651370,Wolter,20651371,Bader,gewonnen,6:1 7:5,12.1,18.1
11.09.2020,20651370,Wolter,20556050,Maß,verloren,3:6 3:6,12.1,6.6
06.09.2020,20651370,Wolter,28601098,Warmer,verloren,3:6 3:6,12.1,8.9
04.09.2020,20651370,Wolter,20553643,Simic,gewonnen,6:0 6:0,12.1,20.1
29.08.2020,20651370,Wolter,20451498,Kamp,gewonnen,6:0 6:4,12.1,18.1
23.08.2020,20651370,Wolter,29654063,Langenhorst,gewonnen,6:3 6:0,12.1,10.1
22.08.2020,20651370,Wolter,20451663,Hülsmann,gewonnen,6:1 6:3,12.1,11.7
15.08.2020,20651370,Wolter,20651448,von Kozierowski,verloren,0:6 0:6,12.1,1.9
11.08.2020,20651370,Wolter,20556038,Volkmann,verloren,5:7 7:6 8:10,12.1,12.5
26.07.2020,20651370,Wolter,20550467,Walter,verloren,6:7 3:6,12.1,9
23.07.2020,20651370,Wolter,20500350,Wiesemann,verloren,4:6 2:6,12.1,14.1
19.07.2020,20651370,Wolter,20557711,Schaudinn,verloren,6:7 1:6,12.1,13.1
16.07.2020,20651370,Wolter,20500350,Wiesemann,verloren,3:6 0:6,12.1,14.1
15.07.2020,20651370,Wolter,20350631,Weiland,verloren,4:6 0:6,12.1,2.1
15.07.2020,20651370,Wolter,20456114,Karraß,gewonnen,5:7 6:0 10:8,12.1,18.1
12.07.2020,20651370,Wolter,20652387,Nolte,verloren,1:6 2:6,12.1,5
12.07.2020,20651370,Wolter,20552002,Hollenberg,verloren,4:6 5:7,12.1,12
05.07.2020,20651370,Wolter,20652388,Buß,verloren,3:6 1:6,12.1,4.1
05.07.2020,20651370,Wolter,20560544,Ilic,gewonnen,6:0 6:1,12.1,22.1
05.07.2020,20651370,Wolter,20550071,Abdou,verloren,0:6 0:6,12.1,1.1
29.06.2020,20651370,Wolter,20551913,Ruf,gewonnen,6:0 6:0,12.1,23.1
29.06.2020,20651370,Wolter,20556878,Grigorieva,verloren,5:7 2:6,12.1,9.7
28.06.2020,20651370,Wolter,20152391,Weber,gewonnen,6:0 6:1,12.1,14.1
21.06.2020,20651370,Wolter,29650608,Grote,verloren,0:6 1:6,12.1,8.1
14.06.2020,20651370,Wolter,29104714,Wolthaus,gewonnen,6:4 6:1,12.1,21.1
10.05.2020,20651370,Wolter,28800076,Vock,verloren,2:6 0:6,12.1,5.1
08.03.2020,20651370,Wolter,29604233,Fielhauer,verloren,1:6 2:6,12.1,2
08.03.2020,20651370,Wolter,28201856,Zedda,verloren,0:6 0:6,12.1,2.1
08.03.2020,20651370,Wolter,20153670,Roßbach,gewonnen,6:1 6:1,12.1,16.7
01.03.2020,20651370,Wolter,20550820,Köhler,verloren,6:7 6:2 5:10,12.1,16.1
24.02.2020,20651370,Wolter,20654294,Hüschen,gewonnen,6:3 6:2,12.1,14.9
16.02.2020,20651370,Wolter,28900202,Timmer,verloren,5:7 5:7,12.1,13.1
09.02.2020,20651370,Wolter,20463743,Volkova,verloren,4:6 3:6,12.1,10.1
26.01.2020,20651370,Wolter,20453186,Dragas,gewonnen,6:4 6:3,12.1,8.1
26.01.2020,20651370,Wolter,20500162,Matsunaga,verloren,2:6 1:6,12.1,7.1
19.01.2020,20651370,Wolter,20651949,Baran,gewonnen,7:5 6:1,12.1,11
22.12.2019,20651370,Wolter,20659823,Röhm,gewonnen,6:1 6:0,12.1,16.1
15.12.2019,20651370,Wolter,20563022,Enatsu,gewonnen,4:6 6:1 10:4,12.1,15.1
15.12.2019,20651370,Wolter,20461571,Wagner,gewonnen,7:5 6:1,12.1,12.1
15.12.2019,20651370,Wolter,20500162,Matsunaga,verloren,5:7 0:6,12.1,7.1
